sensor_id,prediction,truth
400001,61.730484,53.8
400017,64.83677,65.3
400030,59.00111,57.899998
400040,67.096344,67.4
400045,68.27153,64.9
400052,24.519257,22.400002
400057,63.100258,61.2
400059,66.64023,67.4
400065,66.21065,63.3
400069,66.657295,66.9
400073,64.83475,59.8
400084,67.302536,65.4
400085,65.86107,65.6
400088,63.6829,54.7
400096,62.60823,63.6
400097,67.36861,66.9
400100,66.63094,63.399998
400104,65.76841,64.7
400109,67.60653,66.9
400122,62.46227,60.0
400147,64.95373,65.7
400148,36.527916,27.000004
400149,67.07488,66.1
400158,50.38768,68.1
400160,67.98723,68.4
400168,57.364243,51.1
400172,64.62825,66.7
400174,65.366585,64.9
400178,55.212326,30.100002
400185,38.527138,40.2
400201,62.93815,63.0
400206,64.96085,64.6
400209,68.233055,68.5
400213,68.00088,69.2
400221,62.180977,60.8
400222,57.115055,44.0
400227,34.60759,34.300003
400236,66.56297,66.0
400238,57.183723,57.5
400240,63.907795,66.6
400246,52.732677,55.4
400253,64.27922,63.1
400257,63.54018,62.899998
400258,52.141552,53.9
400268,62.110226,17.500004
400274,54.133114,24.2
400278,65.10486,53.6
400280,64.884834,64.3
400292,67.189674,66.0
400296,65.18113,66.5
400298,63.42876,60.7
400330,67.155624,66.3
400336,34.845833,31.9
400343,64.58355,64.7
400353,49.438232,54.1
400372,65.81558,65.8
400394,70.330986,69.1
400400,34.865196,17.600002
400414,50.58588,39.6
400418,26.597363,25.100002
400429,66.73055,65.5
400435,66.56671,66.2
400436,66.69091,65.6
400440,63.36973,59.8
400449,54.31546,53.1
400457,65.94624,65.3
400461,18.616798,14.300003
400464,32.69277,32.100002
400479,61.40649,60.8
400485,40.82157,39.5
400499,61.58463,60.0
400507,41.69185,39.2
400508,61.097897,56.3
400514,59.626015,58.8
400519,61.574875,60.2
400528,63.293106,63.7
400545,67.87598,67.7
400560,62.163834,54.9
400563,63.975548,63.899998
400567,68.98108,67.0
400581,41.586353,27.8
400582,66.44842,66.5
400586,65.616714,67.7
400637,62.73399,61.8
400643,65.850746,67.1
400648,65.89201,64.7
400649,64.16863,65.4
400654,26.370255,25.100002
400664,27.115486,21.300003
400665,61.97242,58.3
400668,18.452862,22.400002
400673,67.18673,64.7
400677,63.456936,63.5
400687,56.757187,22.900002
400688,27.808002,38.0
400690,66.25061,66.3
400700,66.01692,66.5
400709,64.160484,63.0
400713,37.24082,39.1
400714,36.19207,38.300003
400715,56.076706,57.8
400717,64.39123,66.4
400723,63.541904,62.6
400743,67.20302,65.9
400750,30.710102,33.1
400760,37.16994,31.9
400772,66.06929,67.0
400790,58.250538,51.9
400792,67.81393,66.5
400794,69.73487,71.7
400799,58.624775,51.6
400804,64.36262,63.399998
400822,38.15525,40.4
400823,66.59322,65.4
400828,67.05676,67.6
400832,61.594402,53.9
400837,62.61304,63.7
400842,66.4484,66.2
400863,38.832767,28.400002
400869,66.89563,67.2
400873,65.221985,68.1
400895,65.37684,67.3
400904,67.69034,68.1
400907,65.68862,64.6
400911,51.01801,43.7
400916,64.94701,66.2
400922,65.77274,65.3
400934,64.307724,64.4
400951,65.4655,63.0
400952,56.323357,41.199997
400953,57.252716,52.8
400964,41.522198,38.2
400965,49.479023,51.0
400970,58.497845,68.5
400971,52.99799,45.6
400973,64.32858,64.0
400995,69.1665,67.2
400996,35.554237,36.1
401014,41.814312,39.1
401129,65.465324,55.8
401154,65.24757,64.5
401163,70.61466,70.7
401167,23.43496,17.2
401210,61.22129,52.7
401224,66.67557,66.7
401327,64.78894,65.1
401351,56.359257,56.5
401388,65.91354,64.9
401391,66.481926,66.2
401400,31.814074,26.2
401403,20.560116,12.099998
401440,58.697243,57.8
401457,56.825275,57.3
401464,64.598305,63.8
401489,65.22738,63.899998
401495,66.394615,66.6
401507,59.227417,59.0
401534,54.776505,56.2
401541,64.83206,63.1
401555,49.72202,19.200005
401560,64.164925,61.0
401567,55.4507,23.2
401597,29.511974,31.400002
401606,64.79404,63.5
401611,65.766815,63.0
401655,34.68663,23.3
401808,47.89165,20.400002
401809,62.776627,62.6
401810,54.787285,50.9
401811,67.058426,65.5
401816,65.881195,63.399998
401817,51.2412,44.0
401845,63.348278,62.6
401846,67.833,67.9
401890,27.823116,25.5
401891,65.53471,64.6
401906,57.208977,57.7
401908,65.71948,65.1
401926,67.613594,67.3
401936,67.010056,67.1
401937,66.43994,66.6
401942,64.60609,49.5
401943,67.07329,67.0
401948,51.927227,53.3
401957,65.23146,54.1
401958,65.74892,63.6
401994,51.88367,55.4
401996,56.36802,44.9
401997,55.001984,43.8
401998,57.192184,63.399998
402056,64.42526,64.3
402057,65.409935,64.4
402058,65.30195,64.6
402059,60.476124,57.8
402060,60.770157,58.2
402061,65.576675,65.6
402067,68.903534,67.5
402117,65.82532,67.1
402118,55.328186,55.5
402119,61.99582,62.6
402120,62.37728,60.6
402121,61.12875,60.8
402281,61.87767,60.6
402282,59.0972,59.1
402283,61.256256,57.4
402284,59.22675,56.1
402285,61.16183,55.0
402286,61.59583,55.4
402287,58.4893,57.4
402288,63.572723,64.5
402289,57.7528,60.399998
402359,41.10987,44.9
402360,64.83868,64.1
402361,39.092842,30.600002
402362,41.40209,42.8
402363,62.088802,59.7
402364,56.104454,44.5
402365,67.335526,66.3
402366,55.120068,54.7
402367,65.678925,65.4
402368,58.55497,53.6
402369,64.42396,65.0
402370,57.3725,47.0
402371,64.48994,63.8
402372,53.546516,56.3
402373,64.313385,63.899998
403225,61.841072,61.5
403265,60.521046,60.0
403329,65.55108,63.899998
403401,65.48231,65.7
403402,58.062744,51.9
403404,63.059566,68.7
403406,70.059105,70.3
403409,70.563286,71.3
403412,67.44309,62.3
403414,66.960236,67.5
403419,67.342804,67.4
404370,65.417885,64.7
404434,45.989708,45.9
404435,63.74158,61.6
404444,65.56381,66.2
404451,62.79171,51.1
404452,64.77707,63.6
